parameter,low_value,high_value,low_max_service_gap,high_max_service_gap,sensitivity_effect,ranking
transfer_share,0.05,0.15,0.08018018018018018,0.2791991495393338,0.19901896935915359,1
event_intensity,0.2,0.6,0.10667275355702655,0.2820387941313051,0.17536604057427857,2
car_share,0.4,0.7,0.1648962148962149,0.2652159479028847,0.10031973300666983,3
dwell_hours,2.0,4.0,0.1832766439909297,0.2609410096368872,0.07766436564595752,4
rain_daily_attenuation,0.06,0.18,0.21256038647342992,0.1386190601207666,0.07394132635266332,5
