region_code,staff_tier,entry_tier,parking_guidance_tier,shuttle_tier,historical_peak_relative_pressure,static_safety_factor,static_baseline_source,static_daily_relative_cost,dynamic_daily_relative_cost,dynamic_mean_service_risk,annual_relative_cost_static,annual_relative_cost_dynamic,relative_cost_reduction,comparison_note
BDH,2,2,2,2,7.586320819585742,1.2,2023_2025_positive_historical_peak_times_safety_factor,7.199999999999999,1.5265753424657533,0.6232328767123287,2627.9999999999995,557.1999999999999,0.7879756468797565,relative_cost_scenario_not_currency__same_service_risk_definition
HGA,2,2,2,2,3.11209647734684,1.2,2023_2025_positive_historical_peak_times_safety_factor,7.199999999999999,1.5452054794520549,0.3788493150684932,2627.9999999999995,564.0,0.7853881278538812,relative_cost_scenario_not_currency__same_service_risk_definition
SHG,2,2,2,2,4.984926699868896,1.2,2023_2025_positive_historical_peak_times_safety_factor,7.199999999999999,1.8136986301369864,1.0796712328767124,2627.9999999999995,662.0,0.7480974124809741,relative_cost_scenario_not_currency__same_service_risk_definition
