region_code,regime,design_daily_visitors_q90,recommended_tier,objective,bottleneck_risk,capacity_parameter_status
BDH,off_season,65241.1050450491,emergency,23.71288336272919,shuttle_risk,scenario_parameters__HGA_SHG_parking_anchored__BDH_core_parking_relative
BDH,shoulder_season,96545.09415892587,surge,26.87730129759572,shuttle_risk,scenario_parameters__HGA_SHG_parking_anchored__BDH_core_parking_relative
BDH,peak_season,148041.73446079565,surge,28.659243216970005,shuttle_risk,scenario_parameters__HGA_SHG_parking_anchored__BDH_core_parking_relative
HGA,off_season,37018.54190103603,emergency,14.46346632527168,shuttle_risk,scenario_parameters__HGA_SHG_parking_anchored__BDH_core_parking_relative
HGA,shoulder_season,46125.91772432489,emergency,17.283027149851684,shuttle_risk,scenario_parameters__HGA_SHG_parking_anchored__BDH_core_parking_relative
HGA,peak_season,61108.01010749493,emergency,21.381593461654216,shuttle_risk,scenario_parameters__HGA_SHG_parking_anchored__BDH_core_parking_relative
SHG,off_season,60406.38926324099,emergency,22.88953858476579,shuttle_risk,scenario_parameters__HGA_SHG_parking_anchored__BDH_core_parking_relative
SHG,shoulder_season,98208.65608162047,surge,26.813084504723886,shuttle_risk,scenario_parameters__HGA_SHG_parking_anchored__BDH_core_parking_relative
SHG,peak_season,160395.2908219976,normal,28.590951716725797,shuttle_risk,scenario_parameters__HGA_SHG_parking_anchored__BDH_core_parking_relative
