region_code,demand_scenario,reference_date,added_temporary_capacity_scenario,peak_spaces_required,remaining_unserved_spaces_after_full_activation,shortage_reduction_vs_no_added_capacity,unconstrained_optimizer_objective,interpretation
BDH,stress,2026-07-25,0,27694,14694,0,4.110103271466744,physical_capacity_relaxation_counterfactual_not_verified_supply_or_selected_plan
BDH,stress,2026-07-25,500,27694,14194,500,4.110103271466744,physical_capacity_relaxation_counterfactual_not_verified_supply_or_selected_plan
BDH,stress,2026-07-25,1000,27694,13694,1000,4.110103271466744,physical_capacity_relaxation_counterfactual_not_verified_supply_or_selected_plan
