date,region_code,pressure_index,estimate_label
2022-10-02,SHG,0.0,censored_likelihood_pressure_index
2022-10-07,SHG,0.0,censored_likelihood_pressure_index
2022-10-10,SHG,0.0,censored_likelihood_pressure_index
2022-10-11,SHG,0.0,censored_likelihood_pressure_index
2022-10-12,SHG,0.0,censored_likelihood_pressure_index
2022-10-13,SHG,0.0,censored_likelihood_pressure_index
2022-10-14,SHG,0.0,censored_likelihood_pressure_index
2022-10-23,HGA,8.03832611937651,censored_likelihood_pressure_index
2022-10-23,SHG,0.0,censored_likelihood_pressure_index
2022-10-24,SHG,0.0,censored_likelihood_pressure_index
2022-10-27,BDH,0.0,censored_likelihood_pressure_index
2022-10-27,HGA,9.146517479086475,censored_likelihood_pressure_index
2022-10-27,SHG,0.0,censored_likelihood_pressure_index
2022-11-01,SHG,0.0,censored_likelihood_pressure_index
2022-11-02,SHG,0.0,censored_likelihood_pressure_index
2022-11-03,SHG,0.0,censored_likelihood_pressure_index
2022-11-04,SHG,0.0,censored_likelihood_pressure_index
2022-11-05,SHG,0.0,censored_likelihood_pressure_index
2022-11-06,SHG,0.0,censored_likelihood_pressure_index
2022-11-07,SHG,0.0,censored_likelihood_pressure_index
2022-11-08,SHG,0.0,censored_likelihood_pressure_index
2022-11-09,SHG,0.0,censored_likelihood_pressure_index
2022-11-10,BDH,0.0,censored_likelihood_pressure_index
2022-11-10,HGA,8.065241695555063,censored_likelihood_pressure_index
2022-11-10,SHG,0.0,censored_likelihood_pressure_index
2022-11-14,SHG,0.0,censored_likelihood_pressure_index
2022-11-15,SHG,0.0,censored_likelihood_pressure_index
2022-11-16,HGA,7.4933521877378695,censored_likelihood_pressure_index
2022-11-16,SHG,0.0,censored_likelihood_pressure_index
2022-11-18,SHG,0.0,censored_likelihood_pressure_index
2022-11-20,SHG,0.0,censored_likelihood_pressure_index
2022-11-21,SHG,0.0,censored_likelihood_pressure_index
2022-11-22,SHG,0.0,censored_likelihood_pressure_index
2022-11-24,SHG,0.0,censored_likelihood_pressure_index
2022-11-25,HGA,7.575381894790214,censored_likelihood_pressure_index
2022-11-25,SHG,0.0,censored_likelihood_pressure_index
2022-11-27,SHG,0.0,censored_likelihood_pressure_index
2022-11-29,SHG,0.0,censored_likelihood_pressure_index
2022-11-30,SHG,0.0,censored_likelihood_pressure_index
2022-12-01,SHG,0.0,censored_likelihood_pressure_index
2022-12-03,SHG,0.0,censored_likelihood_pressure_index
2022-12-04,SHG,0.0,censored_likelihood_pressure_index
2022-12-14,BDH,0.0,censored_likelihood_pressure_index
2023-01-05,BDH,0.0,censored_likelihood_pressure_index
2023-01-07,HGA,6.7770513508475965,censored_likelihood_pressure_index
2023-01-07,SHG,0.0,censored_likelihood_pressure_index
2023-01-08,SHG,0.0,censored_likelihood_pressure_index
2023-01-12,SHG,0.0,censored_likelihood_pressure_index
2023-02-10,SHG,0.0,censored_likelihood_pressure_index
2023-02-20,HGA,0.25988957278546715,censored_likelihood_pressure_index
2023-02-23,SHG,0.0,censored_likelihood_pressure_index
2023-02-26,HGA,7.05564472090933,censored_likelihood_pressure_index
2023-02-28,SHG,0.0,censored_likelihood_pressure_index
2023-03-01,SHG,0.0,censored_likelihood_pressure_index
2023-03-03,SHG,0.0,censored_likelihood_pressure_index
2023-03-04,SHG,0.0,censored_likelihood_pressure_index
2023-03-05,BDH,0.0,censored_likelihood_pressure_index
