date,theme_attraction,theme_coastal_resort,theme_destination,source_keyword_count,theme_attraction_lag_1,theme_attraction_lag_2,theme_attraction_lag_3,theme_attraction_lag_7,theme_coastal_resort_lag_1,theme_coastal_resort_lag_2,theme_coastal_resort_lag_3,theme_coastal_resort_lag_7,theme_destination_lag_1,theme_destination_lag_2,theme_destination_lag_3,theme_destination_lag_7
2016-01-01,-0.7005901077345822,-1.0580474520812224,-0.8567822264784365,10,,,,,,,,,,,,
2016-01-02,-0.6822360113655843,-1.1039164060422033,-0.8206608027622828,10,-0.7005901077345822,,,,-1.0580474520812224,,,,-0.8567822264784365,,,
2016-01-03,-0.7429313712776828,-0.9990730827028184,-0.8181485322833424,10,-0.6822360113655843,-0.7005901077345822,,,-1.1039164060422033,-1.0580474520812224,,,-0.8206608027622828,-0.8567822264784365,,
2016-01-04,-1.0836722813629693,-1.0973636983334918,-0.7518767279930602,10,-0.7429313712776828,-0.6822360113655843,-0.7005901077345822,,-0.9990730827028184,-1.1039164060422033,-1.0580474520812224,,-0.8181485322833424,-0.8206608027622828,-0.8567822264784365,
2016-01-05,-0.9661033716962294,-1.1596144215662516,-0.7875759551289457,10,-1.0836722813629693,-0.7429313712776828,-0.6822360113655843,,-1.0973636983334918,-0.9990730827028184,-1.1039164060422033,,-0.7518767279930602,-0.8181485322833424,-0.8206608027622828,
2016-01-06,-0.9885531807262957,-0.9826913134310394,-0.7773078069708806,10,-0.9661033716962294,-1.0836722813629693,-0.7429313712776828,,-1.1596144215662516,-1.0973636983334918,-0.9990730827028184,,-0.7875759551289457,-0.7518767279930602,-0.8181485322833424,
2016-01-07,-1.036150326996613,-0.972862251867972,-0.7382087016327106,10,-0.9885531807262957,-0.9661033716962294,-1.0836722813629693,,-0.9826913134310394,-1.1596144215662516,-1.0973636983334918,,-0.7773078069708806,-0.7875759551289457,-0.7518767279930602,
2016-01-08,-0.8854561058884729,-1.0252839135376646,-0.7806316241341771,10,-1.036150326996613,-0.9885531807262957,-0.9661033716962294,-0.7005901077345822,-0.972862251867972,-0.9826913134310394,-1.1596144215662516,-1.0580474520812224,-0.7382087016327106,-0.7773078069708806,-0.7875759551289457,-0.8567822264784365
2016-01-09,-1.2984283281713227,-1.0940873444791361,-0.8393641099011291,10,-0.8854561058884729,-1.036150326996613,-0.9885531807262957,-0.6822360113655843,-1.0252839135376646,-0.972862251867972,-0.9826913134310394,-1.1039164060422033,-0.7806316241341771,-0.7382087016327106,-0.7773078069708806,-0.8206608027622828
2016-01-10,-0.9552181265624092,-1.1989306678185212,-0.8372550814883253,10,-1.2984283281713227,-0.8854561058884729,-1.036150326996613,-0.7429313712776828,-1.0940873444791361,-1.0252839135376646,-0.972862251867972,-0.9990730827028184,-0.8393641099011291,-0.7806316241341771,-0.7382087016327106,-0.8181485322833424
2016-01-11,-1.0702219475120258,-1.0416656828094435,-0.7820943015851585,10,-0.9552181265624092,-1.2984283281713227,-0.8854561058884729,-1.0836722813629693,-1.1989306678185212,-1.0940873444791361,-1.0252839135376646,-1.0973636983334918,-0.8372550814883253,-0.8393641099011291,-0.7806316241341771,-0.7518767279930602
2016-01-12,-1.0116616927222395,-0.9302696517613469,-0.8171189889676691,10,-1.0702219475120258,-0.9552181265624092,-1.2984283281713227,-0.9661033716962294,-1.0416656828094435,-1.1989306678185212,-1.0940873444791361,-1.1596144215662516,-0.7820943015851585,-0.8372550814883253,-0.8393641099011291,-0.7875759551289457
2016-01-13,-0.8854396120742074,-1.018731205828953,-0.7819268161142789,10,-1.0116616927222395,-1.0702219475120258,-0.9552181265624092,-0.9885531807262957,-0.9302696517613469,-1.0416656828094435,-1.1989306678185212,-0.9826913134310394,-0.8171189889676691,-0.7820943015851585,-0.8372550814883253,-0.7773078069708806
2016-01-14,-1.1357377835898166,-0.9859676672853952,-0.8157215767586623,10,-0.8854396120742074,-1.0116616927222395,-1.0702219475120258,-1.036150326996613,-1.018731205828953,-0.9302696517613469,-1.0416656828094435,-0.972862251867972,-0.7819268161142789,-0.8171189889676691,-0.7820943015851585,-0.7382087016327106
2016-01-15,-0.8221433790514138,-0.9400987133244142,-0.7709360701734533,10,-1.1357377835898166,-0.8854396120742074,-1.0116616927222395,-0.8854561058884729,-0.9859676672853952,-1.018731205828953,-0.9302696517613469,-1.0252839135376646,-0.8157215767586623,-0.7819268161142789,-0.8171189889676691,-0.7806316241341771
2016-01-16,-1.0368809884658285,-1.1301272368770496,-0.8289141657759359,10,-0.8221433790514138,-1.1357377835898166,-0.8854396120742074,-1.2984283281713227,-0.9400987133244142,-0.9859676672853952,-1.018731205828953,-1.0940873444791361,-0.7709360701734533,-0.8157215767586623,-0.7819268161142789,-0.8393641099011291
2016-01-17,-1.1466216210450937,-0.9663095441592605,-0.8252531351103405,10,-1.0368809884658285,-0.8221433790514138,-1.1357377835898166,-0.9552181265624092,-1.1301272368770496,-0.9400987133244142,-0.9859676672853952,-1.1989306678185212,-0.8289141657759359,-0.7709360701734533,-0.8157215767586623,-0.8372550814883253
2016-01-18,-1.0044641143372381,-1.051494744372511,-0.7640322445786977,10,-1.1466216210450937,-1.0368809884658285,-0.8221433790514138,-1.0702219475120258,-0.9663095441592605,-1.1301272368770496,-0.9400987133244142,-1.0416656828094435,-0.8252531351103405,-0.8289141657759359,-0.7709360701734533,-0.7820943015851585
2016-01-19,-1.2290171621406931,-1.0547710982268665,-0.48709191343891617,10,-1.0044641143372381,-1.1466216210450937,-1.0368809884658285,-1.0116616927222395,-1.051494744372511,-0.9663095441592605,-1.1301272368770496,-0.9302696517613469,-0.7640322445786977,-0.8252531351103405,-0.8289141657759359,-0.8171189889676691
2016-01-20,-1.0651834018104736,-0.972862251867972,-0.38215731900535294,10,-1.2290171621406931,-1.0044641143372381,-1.1466216210450937,-0.8854396120742074,-1.0547710982268665,-1.051494744372511,-0.9663095441592605,-1.018731205828953,-0.48709191343891617,-0.7640322445786977,-0.8252531351103405,-0.7819268161142789
2016-01-21,-1.1967841089366702,-0.9466514210331258,-0.5321521574861215,10,-1.0651834018104736,-1.2290171621406931,-1.0044641143372381,-1.1357377835898166,-0.972862251867972,-1.0547710982268665,-1.051494744372511,-0.9859676672853952,-0.38215731900535294,-0.48709191343891617,-0.7640322445786977,-0.8157215767586623
2016-01-22,-1.0902121358741044,-1.0121784981202415,-0.62208946636734,10,-1.1967841089366702,-1.0651834018104736,-1.2290171621406931,-0.8221433790514138,-0.9466514210331258,-0.972862251867972,-1.0547710982268665,-0.9400987133244142,-0.5321521574861215,-0.38215731900535294,-0.48709191343891617,-0.7709360701734533
2016-01-23,-1.0733994083291323,-1.1334035907314055,-0.6127386770301981,10,-1.0902121358741044,-1.1967841089366702,-1.0651834018104736,-1.0368809884658285,-1.0121784981202415,-0.9466514210331258,-0.972862251867972,-1.1301272368770496,-0.62208946636734,-0.5321521574861215,-0.38215731900535294,-0.8289141657759359
2016-01-24,-1.2431509339159619,-1.064600159789934,-0.3677230228713535,10,-1.0733994083291323,-1.0902121358741044,-1.1967841089366702,-1.1466216210450937,-1.1334035907314055,-1.0121784981202415,-0.9466514210331258,-0.9663095441592605,-0.6127386770301981,-0.62208946636734,-0.5321521574861215,-0.8252531351103405
2016-01-25,-0.8006918677509041,-0.8450844515480965,-0.5023390075527276,10,-1.2431509339159619,-1.0733994083291323,-1.0902121358741044,-1.0044641143372381,-1.064600159789934,-1.1334035907314055,-1.0121784981202415,-1.051494744372511,-0.3677230228713535,-0.6127386770301981,-0.62208946636734,-0.7640322445786977
2016-01-26,-0.5622375003201809,-1.0973636983334918,-0.6282982932898552,10,-0.8006918677509041,-1.2431509339159619,-1.0733994083291323,-1.2290171621406931,-0.8450844515480965,-1.064600159789934,-1.1334035907314055,-1.0547710982268665,-0.5023390075527276,-0.3677230228713535,-0.6127386770301981,-0.48709191343891617
